Name,Cu_index,h2o_dipole,h2o_gradient_norm,h2o_homo_lumo_gap,h2o_isotropic_es,h2o_anisotropic_es,h2o_anisotropic_xc,h2o_dispersion,h2o_gsolv,h2o_gelec,h2o_gsasa,h2o_ghb,h2o_repulsion_energy,h2o_homo,h2o_homo-1,h2o_homo-2,h2o_lumo,h2o_lumo+1,h2o_lumo+2,h2o_covCN_Cu,h2o_alpha_Cu,h2o_mulliken_charges_Cu,h2o_f_plus_Cu,h2o_f_minus_Cu,h2o_f_zero_Cu,h2o_global_electrophilicity_index,Buried_Vol,Bite_Angle,Yield
L2,12,5.707,0.366415164,0.007402284,0.103366938,0.00200724,0.009228112,-0.034767462,-0.021871261,-0.019381953,-0.00180156,-0.001768508,0.670147466,-0.3858032,-0.4020511,-0.410099,0.4638,0.0012,-0.3694176,1.702,27.091,0.49148546,-0.112,-0.113,-0.113,13.5304,0.672562197,72.25135415,23
L1,9,4.722,0.329341217,0.01693149,0.087346377,0.001343524,0.006986645,-0.028768078,-0.021860121,-0.019920598,-0.001257266,-0.001763017,0.530147004,-0.3918626,-0.4009567,-0.417576,0.3599,0.1226,0.0056,1.704,27.077,0.50134958,-0.118,-0.117,-0.118,13.4573,0.673010622,72.08356758,18
L4,9,2.809,0.32982905,0.044836549,0.115956928,0.003653671,0.002759715,-0.038102975,-0.02154767,-0.018128834,-0.00284856,-0.001651035,0.728000272,-0.3984408,-0.3993044,-0.4007455,0.6242,0.2853,-0.3783699,1.939,27.185,0.42789435,-0.101,-0.1,-0.101,17.8121,0.437587356,10.60348302,34
L5,9,5.753,0.334202372,0.100171445,0.117396322,0.004322962,0.008825747,-0.038435241,-0.023756675,-0.020342067,-0.002745253,-0.001750115,0.75302902,-0.3911701,-0.39585,-0.3971698,0.2532,-0.3694188,-0.3638575,1.641,27.168,0.43941981,-0.117,-0.11,-0.113,12.1522,0.543048826,17.58661909,70
L31,9,4.65,0.314775845,0.107864962,0.115515798,0.003859135,0.00364283,-0.029661955,-0.022438785,-0.020084302,-0.00163695,-0.001798293,0.596494597,-0.393753,-0.3953639,-0.3989988,0.2423,0,-0.3716435,1.595,27.148,0.45348219,-0.121,-0.122,-0.122,12.0215,0.59370341,12.09016882,8
L6,8,2.162,0.351990734,0.035058126,0.083941427,0.003210841,0.00651551,-0.026442229,-0.020881741,-0.018970759,-0.001290783,-0.001700959,0.470904618,-0.4037631,-0.414269,-0.4234153,0.583,0.1872,0,1.683,27.048,0.52128662,-0.121,-0.128,-0.124,13.6878,0.657799105,72.05030852,19
L9,9,4.766,0.416371811,0.119112568,0.111205875,0.003363242,0.009342152,-0.0382839,-0.024622621,-0.021168055,-0.002820153,-0.001715173,0.668106346,-0.4014147,-0.4044726,-0.4048089,0.1882,-0.3781863,-0.3720704,1.638,27.15,0.45191162,-0.122,-0.111,-0.116,12.8251,0.428869269,10.22160959,38
L8,9,5.635,0.354392402,0.089122899,0.107611879,0.003892585,0.006531449,-0.036009621,-0.02470874,-0.021396966,-0.002703382,-0.001689152,0.653932998,-0.3935705,-0.3997526,-0.4094079,0.2923,0.0218,0,1.636,27.184,0.42859254,-0.096,-0.113,-0.105,13.7643,0.398696655,12.79813803,43
L30,9,6.815,0.359423065,0.013423706,0.119220361,0.003533872,0.008276744,-0.038727642,-0.024121405,-0.021141987,-0.002275533,-0.001784645,0.75252907,-0.3820743,-0.3996944,-0.4004501,0.4355,0,-0.364895,1.675,27.15,0.45181694,-0.106,-0.105,-0.106,13.7484,0.53590314,17.58958579,0
L7,6,6.551,0.374392281,0.09030759,0.088568605,0.000436475,0.011612701,-0.034515251,-0.025757048,-0.022633408,-0.002382029,-0.00182237,0.627714043,-0.3967306,-0.4064429,-0.4169662,0.2541,0.0864,0.0051,1.661,27.154,0.44889806,-0.105,-0.116,-0.111,14.0216,0.485423267,29.88676063,53
L10,16,5.358,0.369843769,0.095171333,0.107344485,0.004095727,0.005135606,-0.041189482,-0.022845493,-0.020142564,-0.002036826,-0.001746863,0.768697361,-0.3975556,-0.398165,-0.4006015,0.2667,0.1866,-0.37452,1.663,27.165,0.44194945,-0.098,-0.103,-0.1,16.4424,0.639518496,70.37486787,48
L11,9,4.93,0.352632319,0.028733882,0.115269894,0.004499519,0.015776032,-0.048376265,-0.025465773,-0.020390193,-0.004430553,-0.001725787,0.97674479,-0.3919839,-0.3931717,-0.3955359,0.7476,0.2735,-0.3718777,1.639,27.161,0.44454458,-0.079,-0.084,-0.082,19.1254,0.547655376,17.56873843,55
L12,18,2.025,0.402208621,0.092097956,0.097112009,0.004624162,0.001009498,-0.044018771,-0.020915953,-0.01889226,-0.001361557,-0.001742896,0.783678086,-0.4030386,-0.4044966,-0.4054612,0.2629,0.1585,0.0009,1.667,27.151,0.45109461,-0.089,-0.09,-0.089,18.8351,0.638761414,70.42560647,43
L13,22,5.092,0.361287689,0.022489622,0.016774543,0.002284221,0.012632212,-0.052428552,-0.027842529,-0.021621944,-0.005469066,-0.001832279,0.857459778,-0.408301,-0.410207,-0.4148431,0.6768,0.2875,0.1365,1.658,27.118,0.47372732,-0.078,-0.079,-0.078,23.4023,0.640217341,70.38731066,82
L23,9,18.378,0.314935614,0.162480734,0.138902525,0.002843289,0.007164834,-0.038107566,-0.041871424,-0.038635521,-0.002463464,-0.001853199,0.75249629,-0.3997316,-0.4023103,-0.4032988,0.0865,-0.3730102,-0.3634967,1.673,27.082,0.49765264,-0.151,-0.102,-0.127,14.3855,0.596184309,5.806500911,2
L14,9,4.351,0.316581597,0.05529612,0.127384188,0.005666352,0.001361194,-0.039297751,-0.022283261,-0.020284861,-0.00093086,-0.002148299,0.763467217,-0.3992576,-0.4027986,-0.4052825,0.2774,-0.3793014,-0.3661841,1.642,27.118,0.47352718,-0.106,-0.1,-0.103,17.8572,0.595252516,12.51708915,59
L17,9,5.99,0.367886318,0.09803206,0.118570689,0.002626191,0.013893168,-0.047613813,-0.024699047,-0.020683311,-0.003350382,-0.001746113,0.90670529,-0.3889048,-0.3950792,-0.3968944,0.2614,-0.3676028,-0.3654134,1.708,27.161,0.44440827,-0.113,-0.102,-0.107,13.2951,0.709408777,9.452738781,95
L16,9,7.802,0.39631084,0.084225253,0.120198892,0.000614998,0.014717983,-0.055413007,-0.026699697,-0.021566123,-0.004404581,-0.001809753,1.058445398,-0.3879491,-0.3917271,-0.3938103,0.332,-0.367688,-0.3635184,1.642,27.186,0.42752013,-0.09,-0.08,-0.085,14.6703,0.547835911,18.32769522,61
L3,9,6.318,0.337464128,0.04643136,0.11841729,0.001224903,0.00747103,-0.041042625,-0.023303921,-0.020178315,-0.002454212,-0.001752155,0.808425487,-0.3862891,-0.3888478,-0.3956024,0.3394,-0.3677816,-0.366799,1.73,27.181,0.43082822,-0.106,-0.109,-0.108,15.5818,0.612385855,11.71614141,50
L21,9,7.494,0.393031168,0.058665767,0.119373318,0.005446573,0.022229052,-0.063206141,-0.027934942,-0.021164358,-0.006034062,-0.001817282,1.233211244,-0.3866678,-0.387951,-0.390001,0.3317,-0.3672601,-0.3624506,1.634,27.178,0.43284088,-0.073,-0.072,-0.072,20.7244,0.555732855,18.01062931,50
L19,9,6.427,0.361269873,0.095697134,0.125807326,0.006939646,0.0101784,-0.051812113,-0.024175742,-0.020762115,-0.002664504,-0.001829884,0.992913432,-0.3903597,-0.3946389,-0.3967252,0.2735,-0.3684129,-0.3619805,1.68,27.172,0.43669073,-0.097,-0.084,-0.09,13.8519,0.519905423,1.396092672,47
L20,9,7.895,0.367179213,0.110756471,0.119747558,0.002315164,0.018084568,-0.056543912,-0.026240725,-0.021439217,-0.004110034,-0.001772235,1.057381175,-0.387099,-0.3888951,-0.3927249,0.227,-0.3648126,-0.363433,1.735,27.185,0.42818033,-0.108,-0.093,-0.101,14.0126,0.711097652,10.36836188,96
L15,9,3.313,0.369906388,0.026036595,0.11092542,0.005190061,0.019335666,-0.058377679,-0.02541589,-0.018771457,-0.006043347,-0.001681846,1.200784575,-0.3943067,-0.3958151,-0.3971461,0.6352,0.4094,0.235,1.66,27.17,0.43817644,-0.07,-0.069,-0.069,24.4046,0.603015514,12.38810339,46
L18,9,3.556,0.381580389,0.010157443,0.113926182,0.005091813,0.018866304,-0.059333634,-0.025936606,-0.019268965,-0.006054351,-0.001694049,1.200157753,-0.3940367,-0.3954698,-0.3957435,0.9969,0.3074,0.045,1.637,27.164,0.44261973,-0.067,-0.067,-0.067,24.1966,0.693935194,12.92376756,51
L22,9,8.143,0.320781786,0.024749603,0.122960573,0.004341762,0.017138876,-0.038051264,-0.025969498,-0.021770886,-0.003413242,-0.00186613,0.742532984,-0.3803554,-0.3943009,-0.4028877,0.3828,0,-0.3623951,1.732,27.131,0.46470683,-0.09,-0.111,-0.1,12.9221,0.549565552,19.44509968,44
L24,9,18.901,0.345979406,0.638079228,0.140271472,0.002052418,0.006323693,-0.037792874,-0.042654054,-0.037739943,-0.004100942,-0.001893928,0.73959161,-0.4012784,-0.406279,-0.4074791,0,-0.3701628,-0.3535445,1.676,27.176,0.4343937,-0.131,-0.111,-0.121,17.2608,0.598344903,5.437151459,0
